year,tas
2015,0.8216111515900261
2016,0.8170798174987803
2017,0.9286034280698506
2018,0.9806513815666313
2019,0.9211260907765946
2020,0.7825685401592763
2021,0.8518980632746037
2022,1.0476101368878312
2023,1.0864498457405973
2024,0.9373488956886668
2025,0.9188566469915477
2026,1.1272896984857972
2027,1.0444028742832034
2028,1.010188324519697
2029,1.067938965734131
2030,1.0222589455754574
2031,1.1116296313474898
2032,1.257624189057262
2033,0.9776892672603512
2034,0.9720936051083999
2035,1.1244082100614012
2036,1.3389632684260053
2037,1.5868968222606625
2038,1.3464433372955382
2039,1.0463487585036146
2040,1.1004978309410274
2041,1.1960093847455633
2042,1.3972708279942596
2043,1.3576650886546828
2044,1.068737604752854
2045,0.8915722963361922
2046,1.0205518362899402
2047,1.1376244612594508
2048,1.3967468473928504
2049,1.4073191279454964
2050,1.2070115704514832
2051,1.0268863488665898
2052,1.0600828501637742
2053,1.348307980460992
2054,1.4376926902525384
2055,1.232495152550429
2056,1.3620587479271273
2057,1.428953951165802
2058,1.312010038438855
2059,1.468955232887208
2060,1.3788348863691762
2061,1.2834497347150022
2062,1.3052983801518745
2063,1.354084218139798
2064,1.234184565198362
2065,1.4449739237531058
2066,1.4495443419319287
2067,1.2429069633448504
2068,1.3235415930603058
2069,1.5190376217265338
2070,1.550644151656171
2071,1.146022920229775
2072,1.2513139597701577
2073,1.3632628101535993
2074,1.5812373661242434
2075,1.4500082254582045
2076,1.3932622218006132
2077,1.520553672395186
2078,1.3139740942058387
2079,1.2581332420545064
2080,1.3594631433836852
2081,1.5549308682075826
2082,1.5413503826950767
2083,1.3555922537308218
2084,1.3775715675717706
2085,1.1060367955734054
2086,1.0140331352831888
2087,0.9633422555736998
2088,1.173267042256271
2089,1.494859781106478
2090,1.42524673729357
2091,1.493377386353726
2092,1.314424560721309
2093,1.384770584332622
2094,1.5762584125207029
2095,1.3293217424788248
2096,1.0041061845393284
2097,1.1773813810556342
2098,1.3850990813176756
2099,1.2476633484916397
2100,1.2529103016469667
