year,temperature-ssp585
2015,0.7907067349661074
2016,0.6555263169334419
2017,0.8117247752463842
2018,0.8364002189210502
2019,1.0290408442047536
2020,1.0983693525726423
2021,0.9373268155718323
2022,1.028381577389678
2023,1.1688581020994016
2024,1.0819030705414145
2025,0.8601756369304595
2026,0.9458648228852671
2027,1.1010488470564617
2028,1.2616644066496672
2029,1.1557045870182112
2030,1.33615807595117
2031,1.321700745121256
2032,1.166627621550162
2033,1.4296056251072995
2034,1.3664817189257163
2035,1.1482462378757718
2036,1.2013757690797893
2037,1.4460325680157045
2038,1.4915279376280295
2039,1.2093818352818904
2040,1.137977091564818
2041,1.2986544157738138
2042,1.6855631458282343
2043,1.8037012966145916
2044,1.579081240202839
2045,1.6830626449207877
2046,1.6557070749819354
2047,1.6689347486664785
2048,1.9237891704626777
2049,1.9987204934142093
2050,1.8542666901031664
2051,1.7738820594364706
2052,1.6896037948849363
2053,1.5440088734620252
2054,1.7615884135040345
2055,2.0822594472822327
2056,2.1508775675722434
2057,1.9399432660607039
2058,2.004048967321433
2059,2.2616100766820204
2060,2.5260815790529922
2061,2.3455654034390023
2062,2.1946762910760733
2063,2.4018546653792914
2064,2.488367300252836
2065,2.1896539168622877
2066,2.296493900760349
2067,2.6501264625922865
2068,2.6161127173192136
2069,2.5126124323629666
2070,2.6739329013701645
2071,2.979334242257152
2072,2.9364493975660877
2073,2.9104077915815423
2074,2.7587120610050135
2075,2.7844559851187154
2076,3.030851807244736
2077,3.104125412719146
2078,2.748515281187655
2079,2.8926960058713553
2080,3.355158604956151
2081,3.3401590592414503
2082,3.3941866759633705
2083,3.3100161962008627
2084,3.3038232377547674
2085,3.5368083028720814
2086,3.549025676651482
2087,3.661699692319053
2088,3.82234163287029
2089,3.5581028549884497
2090,3.7321468110255362
2091,3.9634580099347683
2092,3.841416779922931
2093,4.073216861702075
2094,4.14399763964936
2095,4.081569236335939
2096,3.9205958845811777
2097,4.071215360264894
2098,4.120453955383965
2099,3.8065908218442446
2100,3.8285608010224044
